date,close,signal,position,regime_label,regime_entropy,predicted_return,gross_return,transaction_cost,strategy_return,lgbm_naive_equity,gross_equity,equity
2022-08-24,21395.01953125,HOLD,0,RECOVERY,0.009135,-0.0063245867491461,0.0,0.0,0.0,0.2590296279446037,0.7536376652017678,0.9157576887116115
2022-08-25,21600.904296875,HOLD,0,RECOVERY,0.01022,-0.0034940626302245,-0.0,0.0,-0.0,0.27562972726161655,0.7536376652017678,0.9157576887116115
2022-08-26,20260.01953125,HOLD,0,RECOVERY,0.013038,-0.0094417618078334,-0.0,0.0,-0.0,0.27861547244940427,0.7536376652017678,0.9157576887116115
2022-08-27,20041.73828125,HOLD,0,RECOVERY,0.015718,-0.0039391106429515,-0.0,0.0,-0.0,0.28458618372098,0.7536376652017678,0.9157576887116115
2022-08-28,19616.814453125,HOLD,0,RECOVERY,0.042365,-0.0072722124418827,0.0,0.0,0.0,0.27487183672165555,0.7536376652017678,0.9157576887116115
2022-08-29,20297.994140625,HOLD,0,RECOVERY,0.001921,-0.0003666912864007,-0.0,0.0,-0.0,0.2817439976100048,0.7536376652017678,0.9157576887116115
2022-08-30,19796.80859375,HOLD,0,RECOVERY,0.001957,-0.0099948720656729,0.0,0.0,0.0,0.278166799960537,0.7536376652017678,0.9157576887116115
2022-08-31,20049.763671875,HOLD,0,RECOVERY,0.002342,-0.0019941012308485,0.0,0.0,0.0,0.27709535225049015,0.7536376652017678,0.9157576887116115
2022-09-01,20127.140625,HOLD,0,RECOVERY,0.073774,0.0005228056938706,-0.0,0.0,-0.0,0.27492029791048533,0.7536376652017678,0.9157576887116115
2022-09-02,19969.771484375,HOLD,0,SIDEWAYS,0.561117,0.0047080095140066,-0.0,0.0,-0.0,0.27301826789537115,0.7536376652017678,0.9157576887116115
2022-09-03,19832.087890625,HOLD,0,SIDEWAYS,0.112845,-0.0038038362038078,0.0,0.0,0.0,0.27089787948381516,0.7536376652017678,0.9157576887116115
2022-09-04,19986.712890625,HOLD,0,SIDEWAYS,0.034191,-0.0026233662020621,-0.0,0.0,-0.0,0.2732712569814133,0.7536376652017678,0.9157576887116115
2022-09-05,19812.37109375,SELL,0,SIDEWAYS,0.103741,-0.0074286631895404,-0.0,0.0,-0.0,0.2870572630267089,0.7536376652017678,0.9157576887116115
2022-09-06,18837.66796875,SELL,0,RECOVERY,0.001436,-0.0087441390290151,0.0,0.0,0.0,0.28024104418133355,0.7536376652017678,0.9157576887116115
2022-09-07,19290.32421875,SELL,0,RECOVERY,0.01471,0.0047034738068954,0.0,0.0,0.0,0.2808144370596651,0.7536376652017678,0.9157576887116115
2022-09-08,19329.833984375,SELL,0,RECOVERY,0.108796,0.0069824491573799,0.0,0.0,0.0,0.3091374086080566,0.7536376652017678,0.9157576887116115
2022-09-09,21381.15234375,SELL,0,BEAR,0.403612,-0.0140459662850017,0.0,0.0,0.0,0.3048387792388613,0.7536376652017678,0.9157576887116115
2022-09-10,21680.5390625,SELL,0,BEAR,0.408526,-0.0104737852967451,0.0,0.0,0.0,0.3035939237596102,0.7536376652017678,0.9157576887116115
2022-09-11,21769.255859375,SELL,0,BEAR,0.363955,-0.0074756515005167,0.0,0.0,0.0,0.29532336833810935,0.7536376652017678,0.9157576887116115
2022-09-12,22370.44921875,SELL,0,BEAR,0.159558,-0.0135252961762502,-0.0,0.0,-0.0,0.32405307500351294,0.7536376652017678,0.9157576887116115
2022-09-13,20296.70703125,SELL,0,BEAR,3e-06,-0.0108933443341776,-0.0,0.0,-0.0,0.3249422664904811,0.7536376652017678,0.9157576887116115
2022-09-14,20241.08984375,SELL,0,BEAR,0.000479,-0.0079461267075662,-0.0,0.0,-0.0,0.33372694621734905,0.7536376652017678,0.9157576887116115
2022-09-15,19701.2109375,HOLD,0,BEAR,0.017102,-0.0028010459149319,0.0,0.0,0.0,0.3325201134322043,0.7536376652017678,0.9157576887116115
2022-09-16,19772.583984375,HOLD,0,RECOVERY,0.286525,0.0008956749776595,0.0,0.0,0.0,0.3384371401685096,0.7536376652017678,0.9157576887116115
2022-09-17,20127.576171875,HOLD,0,RECOVERY,0.04345,0.0098747780624216,-0.0,0.0,-0.0,0.326316756508384,0.7536376652017678,0.9157576887116115
2022-09-18,19419.505859375,HOLD,0,RECOVERY,0.01351,8.787724495351514e-05,0.0,0.0,0.0,0.3284041760913706,0.7536376652017678,0.9157576887116115
2022-09-19,19544.12890625,HOLD,0,RECOVERY,0.005595,-0.00156433953285,-0.0,0.0,-0.0,0.339570074906935,0.7536376652017678,0.9157576887116115
2022-09-20,18890.7890625,HOLD,0,RECOVERY,0.013402,0.0048511531517243,-0.0,0.0,-0.0,0.33334072520741675,0.7536376652017678,0.9157576887116115
2022-09-21,18547.400390625,HOLD,0,RECOVERY,0.00488,4.9800231110166273e-05,0.0,0.0,0.0,0.34855495510132645,0.7536376652017678,0.9157576887116115
2022-09-22,19413.55078125,HOLD,0,RECOVERY,0.002113,-0.0055313544865936,-0.0,0.0,-0.0,0.3506423030435474,0.7536376652017678,0.9157576887116115
2022-09-23,19297.638671875,HOLD,0,RECOVERY,0.004633,0.0008456943612277,-0.0,0.0,-0.0,0.3440276321075998,0.7536376652017678,0.9157576887116115
2022-09-24,18937.01171875,HOLD,0,RECOVERY,0.03491,0.0087655129236094,-0.0,0.0,-0.0,0.3415678833771948,0.7536376652017678,0.9157576887116115
2022-09-25,18802.09765625,HOLD,0,RECOVERY,0.079223,0.0116125219220657,0.0,0.0,0.0,0.34912403721681984,0.7536376652017678,0.9157576887116115
2022-09-26,19222.671875,HOLD,0,RECOVERY,0.003729,0.0002733591122368,-0.0,0.0,-0.0,0.34708164966947397,0.7536376652017678,0.9157576887116115
2022-09-27,19110.546875,HOLD,0,RECOVERY,0.002858,0.0068411212031194,0.0,0.0,0.0,0.3527769468745415,0.7536376652017678,0.9157576887116115
2022-09-28,19426.720703125,HOLD,0,RECOVERY,0.121781,0.0099255935523939,0.0,0.0,0.0,0.35542425061400207,0.7536376652017678,0.9157576887116115
2022-09-29,19573.05078125,HOLD,0,SIDEWAYS,0.276855,0.0030531089816629,-0.0,0.0,-0.0,0.3528497977899915,0.7536376652017678,0.9157576887116115
2022-09-30,19431.7890625,HOLD,0,SIDEWAYS,0.065659,-0.005909895264974,-0.0,0.0,-0.0,0.3550299566599289,0.7536376652017678,0.9157576887116115
2022-10-01,19312.095703125,HOLD,0,SIDEWAYS,0.000451,0.0005925613300854,-0.0,0.0,-0.0,0.3500688078315415,0.7536376652017678,0.9157576887116115
2022-10-02,19044.107421875,HOLD,0,SIDEWAYS,0.000404,-4.481073333586056e-05,0.0,0.0,0.0,0.3395757836658969,0.7536376652017678,0.9157576887116115
2022-10-03,19623.580078125,HOLD,0,SIDEWAYS,0.006916,0.0027040221632084,0.0,0.0,0.0,0.35169941870783933,0.7536376652017678,0.9157576887116115
2022-10-04,20336.84375,HOLD,0,SIDEWAYS,0.039501,0.0040481605812367,-0.0,0.0,-0.0,0.348640264687452,0.7536376652017678,0.9157576887116115
2022-10-05,20160.716796875,HOLD,0,SIDEWAYS,0.01383,-0.0038855007331862,-0.0,0.0,-0.0,0.35220826371499103,0.7536376652017678,0.9157576887116115
2022-10-06,19955.443359375,HOLD,0,SIDEWAYS,0.0175,0.0040780882408239,-0.0,0.0,-0.0,0.34492183971131113,0.7536376652017678,0.9157576887116115
2022-10-07,19546.849609375,HOLD,0,SIDEWAYS,0.022406,0.0098910750030343,-0.0,0.0,-0.0,0.3426152137405214,0.7536376652017678,0.9157576887116115
2022-10-08,19416.568359375,HOLD,0,SIDEWAYS,0.009283,0.0137277341978913,0.0,0.0,0.0,0.3431416584582436,0.7536376652017678,0.9157576887116115
2022-10-09,19446.42578125,HOLD,0,SIDEWAYS,0.005551,-0.0003479321217296,-0.0,0.0,-0.0,0.3485651332065119,0.7536376652017678,0.9157576887116115
2022-10-10,19141.484375,SELL,0,SIDEWAYS,0.004468,-0.0162957858682987,-0.0,0.0,-0.0,0.3502091070948865,0.7536376652017678,0.9157576887116115
2022-10-11,19051.41796875,SELL,0,SIDEWAYS,0.000167,-0.0198688277001089,0.0,0.0,0.0,0.3482654828411139,0.7536376652017678,0.9157576887116115
2022-10-12,19157.4453125,SELL,0,SIDEWAYS,0.00018,-0.0151548859731139,0.0,0.0,0.0,0.34419076745507204,0.7536376652017678,0.9157576887116115
